Name,Sector,Subsector,Market Cap (£ m),Current Price per Share (pence),Net Asset Value per Share (pence),Gearing (%),Dividend Yield (%),Last Statement Year
1PM PLC,Financial Services,Specialty Finance,35.91,41.5,22.92,4.49,1.27,2018
1SPATIAL PLC,Support Services,Business Support Services,34.06,34.5,-0.49,-3.95,nan,2018
21ST CENTURY TECHNOLOGY PLC,Support Services,Business Support Services,2.75,2.95,-2.05,348.69,nan,2017
3I GROUP PLC,Financial Services,Specialty Finance,7524.93,774.0,720.73,nan,3.49,2018
3I INFRASTRUCTURE PLC,Equity Investment Instruments,Equity Investment Instruments,2094.97,258.35,211.02,nan,3.68,2018
4D PHARMA PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,68.6,103.85,111.3,-16.95,nan,2017
4IMPRINT GROUP PLC,Media,Media Agencies,518.18,1940.0,113.92,nan,4.7,2017
600 GROUP PLC,Industrial Engineering,Industrial Machinery,16.95,15.25,33.2,26.56,nan,2018
7DIGITAL GROUP PLC,General Retailers,Specialty Retailers,7.6,1.9,0.07,nan,nan,2017
88 ENERGY LIMITED,Oil &amp; Gas Producers,Exploration &amp; Production,62.37,1.07,0.93,12.88,nan,2017
888 HOLDINGS PLC,Travel &amp; Leisure,Gambling,637.5,162.6,-10.12,nan,4.11,2017
ASSOCIATED BRITISH ENGINEERING PLC,Industrial Engineering,Industrial Machinery,0.31,15.0,47.63,-31.66,nan,2018
ASSOCIATED BRITISH FOODS PLC,Food Producers,Food Products,16173.9,2102.0,957.34,-6.34,nan,2018
AA PLC,Support Services,Business Support Services,459.52,71.46,nan,-151.0,3.97,2018
AB DYNAMICS PLC,Industrial Engineering,Industrial Machinery,273.54,1390.0,147.8,nan,0.57,2017
ABERDEEN NEW INDIA INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,275.86,464.0,490.0,nan,0.0,2018
ABCAM PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,2238.97,1082.0,64.17,nan,0.9,2018
ABERDEEN ASIAN INCOME FUND LTD,Equity Investment Instruments,Equity Investment Instruments,349.67,194.0,235.63,7.07,4.13,2017
ABERDEEN NEW THAI INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,90.66,545.0,nan,nan,1.88,2018
ABERDEEN NEW DAWN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,244.72,215.0,nan,nan,1.82,2018
ABERDEEN FRONTIER MARKETS INVESTMENT COMPANY LIMITED,Equity Investment Instruments,Equity Investment Instruments,34.01,47.5,63.2,nan,2.72,2018
ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,374.52,112.25,131.64,nan,nan,2016
ABERDEEN JAPAN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,76.61,532.5,611.41,nan,1.1,2017
ABERDEEN LATIN AMERICAN INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,38.75,66.7,78.28,14.39,5.76,2018
ABERDEEN SMALLER COMPANIES INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,49.53,225.5,341.12,nan,2.45,2017
ABERFORTH SPLIT LEVEL INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,144.4,76.7,nan,nan,nan,2018
ABERFORTH SMALLER COMPANIES TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1030.8,1146.0,1292.57,nan,nan,2017
ABERDEEN STANDARD ASIA FOCUS PLC,Equity Investment Instruments,Equity Investment Instruments,350.11,1010.0,1231.83,nan,1.62,2018
ABERDEEN STANDARD EQUITY INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,195.18,397.5,482.78,nan,nan,2017
ABERDEEN STANDARD EUROPEAN LOGISTICS INCOME PLC,Equity Investment Instruments,Equity Investment Instruments,191.72,103.0,nan,nan,nan,2018
ACACIA MINING PLC,Mining,Gold Mining,751.69,202.3,197.87,-0.85,2.86,2017
ACCESS INTELLIGENCE PLC,Software &amp; Computer Services,Computer Services,35.27,58.0,-1.69,835.91,nan,2017
ACCESSO TECHNOLOGY GROUP PLC,Software &amp; Computer Services,Software,393.07,1530.0,-68.18,-7.14,nan,2017
ACCROL GROUP HOLDINGS PLC,Household Goods &amp; Home Construction,Nondurable Household Products,37.1,20.0,22.08,72.32,nan,2018
ACCSYS TECHNOLOGIES PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,122.63,111.5,26.09,8.73,nan,2018
ACTIVE ENERGY GROUP PLC,Alternative Energy,Alternative Fuels,10.52,0.88,nan,-634.83,nan,2017
ADEPT TECHNOLOGY GROUP PLC,Fixed Line Telecommunications,Fixed Line Telecommunications,82.01,346.0,-144.09,nan,2.69,2018
ADEPT4 PLC,Software &amp; Computer Services,Computer Services,2.5,1.1,-0.15,19.87,nan,2016
ADMIRAL GROUP PLC,Nonlife Insurance,Insurance Brokers,5946.59,2006.0,169.46,nan,5.49,2017
ADVANCED MEDICAL SOLUTIONS GROUP PLC,Health Care Equipment &amp; Services,Medical Supplies,587.06,270.5,45.03,nan,0.31,2017
ADVANCED ONCOTHERAPY PLC,Health Care Equipment &amp; Services,Medical Equipment,66.98,39.5,-2.36,32.07,nan,2017
ADVFN PLC,Financial Services,Specialty Finance,6.53,25.5,-0.64,nan,nan,2018
AEOREMA COMMUNICATIONS PLC,Media,Broadcasting &amp; Entertainment,2.81,31.0,14.34,-86.39,2.73,2018
AEW UK LONG LEASE REIT PLC,Real Estate Investment Trusts,Diversified REITs,71.56,88.9,nan,nan,nan,nan
AEW UK REIT PLC,Real Estate Investment Trusts,Diversified REITs,135.95,89.5,99.03,31.19,4.46,2018
AFC ENERGY PLC,Alternative Energy,Alternative Fuels,16.94,4.47,1.47,-58.93,nan,2016
AFH FINANCIAL GROUP PLC,Financial Services,Asset Managers,145.7,343.0,-18.31,-17.75,1.62,2017
AFRICAN BATTERY METALS PLC,Mining,General Mining,1.84,1.35,-0.01,-3.04,nan,2017
AFRITIN MINING LIMITED,Industrial Metals &amp; Mining,Nonferrous Metals,17.97,3.25,-1404763.0,nan,nan,2018
AGGREGATED MICRO POWER HOLDINGS PLC,Electricity,Alternative Electricity,60.22,95.0,17.46,38.31,nan,2018
AGGREKO PLC,Support Services,Business Support Services,1876.4,713.0,431.14,49.51,3.44,2017
AGRITERRA LD,Food Producers,Farming &amp; Fishing,1.81,8.5,30.68,8.32,nan,2018
AIR PARTNER PLC,Travel &amp; Leisure,Airlines,45.12,84.9,0.85,nan,3.86,2018
AIREA PLC,Household Goods &amp; Home Construction,Furnishings,25.02,60.0,36.74,-19.64,21.09,2017
ALBA MINERAL RESOURCES PLC,Mining,General Mining,9.71,0.32,0.18,-7.09,nan,2017
ALBERT TECHNOLOGIES LTD,Software &amp; Computer Services,Software,20.45,20.5,29.35,nan,nan,2017
ALCENTRA EUROPEAN FLOATING RATE INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,141.86,98.6,106.49,nan,nan,2018
ALEXANDER MINING PLC,Mining,General Mining,1.65,0.09,0.03,nan,nan,2017
ALFA FINANCIAL SOFTWARE HOLDINGS PLC,Software &amp; Computer Services,Software,346.8,118.0,nan,nan,nan,2017
ALIEN METALS LIMITED,Mining,Platinum &amp; Precious Metals,0.97,0.14,0.19,nan,nan,2017
ALLERGY THERAPEUTICS PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,86.68,13.62,4.12,-62.72,nan,2017
ALLIANCE PHARMA PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,347.13,67.0,-15.84,35.56,2.0,2017
ALLIANCE TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,2295.35,688.0,776.67,nan,1.76,2017
ALLIANZ TECHNOLOGY TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,408.42,1190.0,nan,nan,nan,2016
ALLIED MINDS PLC,Financial Services,Specialty Finance,168.7,66.2,23.05,nan,nan,2017
ALPHA FINANCIAL MARKETS CONSULTING PLC,Support Services,Business Support Services,226.58,225.0,nan,nan,nan,2018
ALPHA FX GROUP PLC,Financial Services,Investment Services,206.48,590.0,20.56,nan,nan,2017
ALTITUDE GROUP PLC,Support Services,Business Support Services,39.65,77.0,5.53,nan,nan,2017
ALTONA ENERGY PLC,Mining,Coal,1.52,70.0,-0.01,nan,nan,2017
ALTUS STRATEGIES PLC,Mining,General Mining,5.55,3.1,348.0,nan,-72.24,2017
ALUMASC GROUP PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,38.84,107.5,4.99,nan,5.44,2018
AMERISUR RESOURCES PLC,Oil &amp; Gas Producers,Exploration &amp; Production,186.35,19.28,13.47,nan,nan,2017
AMIAD WATER SYSTEMS LTD,Industrial Engineering,Industrial Machinery,51.22,213.0,149.0,16.67,1.39,2017
AMIGO HOLDINGS PLC,Financial Services,Consumer Finance,1335.93,275.0,nan,nan,nan,nan
AMINO TECHNOLOGIES PLC,Technology Hardware &amp; Equipment,Telecommunications Equipment,84.49,116.0,12.77,nan,3.52,2017
AMPHION INNOVATIONS PLC,Financial Services,Specialty Finance,1.21,0.53,nan,-697.98,nan,2017
AMRYT PHARMA PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,48.09,17.05,-10.0,nan,nan,2017
AMUR MINERALS CORPORATION,Mining,General Mining,27.63,3.75,3.49,nan,nan,2017
ANDALAS ENERGY AND POWER PLC,Alternative Energy,Alternative Fuels,2.65,0.72,0.0,nan,nan,2018
ANDREWS SYKES GROUP PLC,Support Services,Business Support Services,202.86,520.0,126.27,-38.03,4.29,2017
ANEXO GROUP PLC,Support Services,Business Support Services,129.25,117.5,nan,nan,nan,nan
ANGLE PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,55.96,41.0,9.36,nan,nan,2018
ANGLESEY MINING PLC,Mining,General Mining,3.02,2.0,6.77,nan,nan,2018
ANGLING DIRECT PLC,General Retailers,Specialty Retailers,54.61,83.5,-81.58,2.34,nan,2018
ANGLO AFRICAN OIL &amp; GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,20.02,15.22,3.37,-27.0,nan,2017
ANGLO AMERICAN PLC,Mining,General Mining,24554.89,1674.6,1092.88,18.16,4.95,2017
